105	10	107	1	0	2025-12-28 20:18:44
905	10	920	1	20	2026-01-14 02:50:09
911	10	930	1	30	2026-01-14 02:50:09
917	10	940	1	40	2026-01-14 02:50:09
918	10	941	1	41	2026-01-14 02:50:09
919	10	942	1	42	2026-01-14 02:50:09
920	10	943	1	43	2026-01-14 02:50:09
921	10	944	1	44	2026-01-14 02:50:09
922	10	945	1	45	2026-01-14 02:50:09
923	10	950	1	50	2026-01-14 02:50:09
924	10	951	1	51	2026-01-14 02:50:09
925	10	952	1	52	2026-01-14 02:50:09
926	10	953	1	53	2026-01-14 02:50:09
927	10	954	1	54	2026-01-14 02:50:09
963	10	100000	0	10	2026-01-14 03:07:15
962	10	100001	0	20	2026-01-14 03:07:15
957	10	100002	0	30	2026-01-14 03:07:15
959	10	100003	0	40	2026-01-14 03:07:15
958	10	100004	0	50	2026-01-14 03:07:15
964	10	100005	0	60	2026-01-14 03:07:15
961	10	100006	0	70	2026-01-14 03:07:15
960	10	100007	0	80	2026-01-14 03:07:15
