116	10	150	1	5	2025-12-28 20:18:44
117	10	151	1	0	2025-12-28 20:18:44
106	10	550	1	1	2025-12-28 20:18:44
107	10	551	1	0	2025-12-28 20:18:44
108	10	552	1	0	2025-12-28 20:18:44
109	10	553	1	2	2025-12-28 20:18:44
110	10	554	1	0	2025-12-28 20:18:44
111	10	555	1	3	2025-12-28 20:18:44
112	10	556	1	0	2025-12-28 20:18:44
113	10	557	1	0	2025-12-28 20:18:44
114	10	558	1	4	2025-12-28 20:18:44
115	10	559	1	0	2025-12-28 20:18:44
896	10	561	1	7	2026-01-13 10:00:00
897	10	562	1	8	2026-01-13 10:00:00
898	10	563	1	9	2026-01-13 10:00:00
899	10	910	1	10	2026-01-14 02:50:09
900	10	911	1	11	2026-01-14 02:50:09
901	10	912	1	12	2026-01-14 02:50:09
902	10	913	1	13	2026-01-14 02:50:09
903	10	914	1	14	2026-01-14 02:50:09
904	10	915	1	15	2026-01-14 02:50:09
